Source Name	Provider	Material Type	Term Source REF	Characteristics [Organism]	Characteristics [organism_part]	Comment [characteristic description]	Term Source REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Extract Name	Comment [TCGA Barcode]	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]	Protocol REF	Normalization Name	Derived Array Data Matrix File	Comment [TCGA Archive Name]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Include for Analysis]
->	->	->	->	->	->	->	->	->	->	->	none	810adcea-d548-42c8-ba9c-f5619597d931	TCGA-02-0001-01C-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0001-01C-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	124	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	124	0124.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	124	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	124	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	124	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	f7cc0ff6-485a-427e-98b0-4aaebea4a08c	TCGA-02-0002-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0002-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	125	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	125	0125.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	125	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	125	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	125	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	dbbde59a-0efa-427a-ad97-e3c0ff224f8a	TCGA-02-0003-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0003-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	126	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	126	0126.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	126	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	126	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	126	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	6c9bfb0d-10bf-4fdc-8fd5-64eb908de93f	TCGA-02-0006-01B-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0006-01B-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	127	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	127	0127.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	127	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	127	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	127	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	981d24fe-ff31-46a1-b7df-4c664a9e420a	TCGA-02-0007-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0007-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	128	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	128	0128.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	128	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	128	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	128	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	8341702f-691d-4f16-a113-db31889eb2bf	TCGA-02-0009-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0009-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	129	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	129	0129.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	129	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	129	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	129	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	c0ab6009-3174-4a9d-b132-f153bfc3a76a	TCGA-02-0010-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0010-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	130	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	130	0130.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	130	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	130	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	130	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	79825a57-8723-4324-a68f-d871a2d98602	TCGA-02-0011-01B-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0011-01B-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	131	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	131	0131.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	131	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	131	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	131	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	be596c3a-29be-4841-ab57-96a6b6494658	TCGA-02-0014-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0014-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	132	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	132	0132.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	132	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	132	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	132	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
->	->	->	->	->	->	->	->	->	->	->	none	6642b37e-4e82-4134-b3b0-76233a16166a	TCGA-02-0021-01A-01R-0178-03	lbl.gov:labeling:HuEx-1_0-st-v2:01	TCGA-02-0021-01A-01R-0178-03_LE	Biotin	lbl.gov:hybridization:HuEx-1_0-st-v2:01	133	Affymetrix.com:PhysicalArrayDesign:HuEx-1_0-st-v2	lbl.gov:scan:HuEx-1_0-st-v2:01	133	0133.CEL	lbl.gov_GBM.HuEx-1_0-st-v2.Level_1.1.1.0	Expression-Exon	Level 1	yes	lbl.gov:quantile_normalization_exon:HuEx-1_0-st-v2:01	133	lbl.gov_GBM.HuEx-1_0-st-v2.1.exon.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_2.1.2.0	Expression-Exon	Level 2	yes	lbl.gov:quantile_normalization_gene:HuEx-1_0-st-v2:01	133	lbl.gov_GBM.HuEx-1_0-st-v2.1.gene.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Expression-Gene	Level 3	yes	lbl.gov:segmented_as_firma:HuEx-1_0-st-v2:01	133	lbl.gov_GBM.HuEx-1_0-st-v2.1.FIRMA.txt	lbl.gov_GBM.HuEx-1_0-st-v2.Level_3.1.2.0	Calls for Variants per sample	Level 3	yes
